epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.416,0.87715,0.66278,0.85595,0.8694,0.82802,0.90922,0.62344,1.21318,0.68647,0.86155,0.0808993,9.92677e-05,9.92677e-05
2,55.4703,0.85054,0.64642,0.85304,0.83153,0.84885,0.90567,0.67283,1.10389,0.69951,0.8544,0.0609976,0.000197614,0.000197614
3,82.4487,0.85133,0.63993,0.85157,0.85079,0.83779,0.90662,0.68299,1.12153,0.66475,0.86017,0.0410908,0.000290801,0.000290801
4,106.535,0.825,0.62608,0.84739,0.86323,0.83387,0.91242,0.59929,1.23136,0.68438,0.85772,0.0211788,0.000378827,0.000378827
5,142.376,0.84633,0.61146,0.85563,0.83412,0.85905,0.90984,0.66898,1.12943,0.6731,0.85706,0.00126169,0.000461693,0.000461693
6,183.396,0.83779,0.60908,0.85499,0.85874,0.81777,0.8996,0.65677,1.16572,0.71215,0.86555,0.000452515,0.000452515,0.000452515
7,203.327,0.83425,0.62913,0.85398,0.85876,0.8246,0.90675,0.64959,1.21862,0.70125,0.87006,0.000439614,0.000439614,0.000439614
8,220.738,0.83761,0.6118,0.85044,0.86953,0.82916,0.90958,0.67483,1.17486,0.6839,0.869,0.000426714,0.000426714,0.000426714
9,236.095,0.83335,0.6184,0.84765,0.84295,0.84282,0.90864,0.67641,1.16858,0.66722,0.86713,0.000413813,0.000413813,0.000413813
10,256.648,0.83963,0.61344,0.85521,0.85575,0.84461,0.91333,0.63547,1.19409,0.67112,0.8623,0.000400912,0.000400912,0.000400912
11,284.392,0.85434,0.61696,0.85251,0.86244,0.83547,0.91238,0.60819,1.31154,0.6995,0.87181,0.000388011,0.000388011,0.000388011
12,311.349,0.83424,0.63233,0.84682,0.86398,0.83941,0.91082,0.63269,1.27578,0.68873,0.87085,0.00037511,0.00037511,0.00037511
13,340.489,0.83088,0.61189,0.85098,0.87047,0.84192,0.9114,0.48939,1.52721,0.76886,0.89325,0.00036221,0.00036221,0.00036221
14,357.951,0.81751,0.60851,0.85143,0.86036,0.84852,0.91474,0.55051,1.41569,0.73733,0.87823,0.000349309,0.000349309,0.000349309
15,373.972,0.81932,0.61308,0.84481,0.8569,0.84569,0.9145,0.5468,1.42284,0.73373,0.87741,0.000336408,0.000336408,0.000336408
16,400.073,0.81528,0.60231,0.84589,0.85275,0.85086,0.91566,0.58645,1.332,0.70891,0.87018,0.000323507,0.000323507,0.000323507
17,426.154,0.86429,0.61931,0.84949,0.85641,0.8451,0.91435,0.61969,1.27011,0.6894,0.86888,0.000310606,0.000310606,0.000310606
18,451.93,0.84265,0.60649,0.85007,0.8408,0.84624,0.90899,0.66474,1.18312,0.73094,0.86951,0.000297706,0.000297706,0.000297706
19,480.888,0.81346,0.60687,0.84663,0.83593,0.85303,0.90642,0.67273,1.19368,0.74336,0.87452,0.000284805,0.000284805,0.000284805
20,514.338,0.80743,0.59207,0.84816,0.8331,0.85848,0.9099,0.66248,1.19561,0.69108,0.86988,0.000271904,0.000271904,0.000271904
21,535.209,0.85549,0.60683,0.85551,0.85074,0.85691,0.91511,0.66146,1.20976,0.6803,0.86774,0.000259003,0.000259003,0.000259003
22,559.933,0.8149,0.60695,0.84291,0.8793,0.83801,0.91644,0.63844,1.24405,0.69925,0.867,0.000246102,0.000246102,0.000246102
23,581.679,0.8294,0.61304,0.85117,0.8755,0.83371,0.91662,0.63269,1.24915,0.67878,0.86845,0.000233202,0.000233202,0.000233202
24,603.158,0.8158,0.61257,0.84878,0.87345,0.83331,0.91616,0.60924,1.31168,0.70273,0.87001,0.000220301,0.000220301,0.000220301
25,617.086,0.81928,0.61226,0.85161,0.86221,0.84097,0.91513,0.67272,1.18769,0.65972,0.86623,0.0002074,0.0002074,0.0002074
26,632.484,0.8197,0.60391,0.848,0.85186,0.84852,0.91298,0.69033,1.13549,0.67226,0.86312,0.000194499,0.000194499,0.000194499
27,657.814,0.83259,0.6082,0.85483,0.84611,0.8579,0.91097,0.67678,1.15802,0.68159,0.86533,0.000181598,0.000181598,0.000181598
28,680.639,0.81862,0.60266,0.85384,0.84155,0.85877,0.91294,0.6746,1.18204,0.68852,0.86627,0.000168698,0.000168698,0.000168698
29,703.163,0.81915,0.5952,0.85181,0.8516,0.85621,0.91332,0.68702,1.1714,0.67187,0.86877,0.000155797,0.000155797,0.000155797
30,724.465,0.81537,0.60189,0.84696,0.85787,0.84624,0.91451,0.65746,1.21946,0.67675,0.86819,0.000142896,0.000142896,0.000142896
31,745.324,0.83903,0.59951,0.85026,0.87179,0.84055,0.91734,0.66361,1.21235,0.66195,0.86745,0.000129995,0.000129995,0.000129995
