epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.4756,0.76633,0.54563,0.81466,0.79277,0.86492,0.88419,0.67108,0.9044,0.63462,0.81283,0.0805633,3.702e-05,3.702e-05
2,107.639,0.77292,0.57386,0.81854,0.79035,0.86702,0.88416,0.67643,0.89002,0.62859,0.81183,0.0605995,7.31681e-05,7.31681e-05
3,161.944,0.76153,0.54536,0.8212,0.79373,0.86702,0.88496,0.67363,0.89282,0.63045,0.81266,0.0406337,0.000107419,0.000107419
4,215.827,0.75444,0.54557,0.81681,0.79305,0.87073,0.88498,0.68109,0.87254,0.62393,0.81029,0.0206661,0.000139773,0.000139773
5,270.339,0.75856,0.69466,0.80327,0.79192,0.86702,0.88492,0.67921,0.87553,0.62444,0.8105,0.000696545,0.000170229,0.000170229
6,324.083,0.73564,0.54141,0.81671,0.79852,0.86318,0.88498,0.66859,0.90592,0.62761,0.81171,0.000166386,0.000166386,0.000166386
7,377.806,0.74804,0.56551,0.81456,0.80052,0.86073,0.88457,0.68248,0.85909,0.62216,0.80897,0.000161643,0.000161643,0.000161643
8,432.413,0.74339,0.53851,0.81185,0.7974,0.86548,0.88309,0.68966,0.83277,0.61379,0.80726,0.0001569,0.0001569,0.0001569
9,486.003,0.72578,0.54557,0.80985,0.79537,0.86702,0.88491,0.68107,0.86889,0.62255,0.80967,0.000152156,0.000152156,0.000152156
10,539.611,0.74745,0.54328,0.81745,0.8021,0.86154,0.88559,0.68475,0.85803,0.61952,0.80931,0.000147413,0.000147413,0.000147413
11,593.374,0.73898,0.54188,0.81534,0.80305,0.85821,0.88439,0.68424,0.85531,0.62138,0.80922,0.00014267,0.00014267,0.00014267
