epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4646,1.95491,2.49921,1.04287,0.64583,0.37504,0.42002,0.09653,2.04943,2.57074,0.95669,0.0675761,7.61364e-05,7.61364e-05
2,94.319,1.25038,0.97166,0.86452,0.82151,0.77778,0.86588,0.61202,1.02819,0.96416,0.84131,0.0343171,0.000150405,0.000150405
3,150.869,1.19158,0.85487,0.85218,0.7806,0.8357,0.87443,0.53127,1.21494,0.80071,0.84418,0.00105414,0.000220806,0.000220806
4,187.873,1.11194,0.84134,0.83268,0.83589,0.85225,0.89935,0.65147,0.95161,0.68539,0.82588,0.00021686,0.00021686,0.00021686
5,251.532,1.05976,0.76925,0.82783,0.83558,0.83501,0.8942,0.64121,0.94733,0.74346,0.82277,0.000211058,0.000211058,0.000211058
6,305.013,1.03843,0.74475,0.82054,0.80534,0.86559,0.87024,0.63552,0.94526,0.75202,0.82699,0.000205256,0.000205256,0.000205256
7,332.396,1.01332,0.72989,0.82458,0.81598,0.87707,0.90079,0.67468,0.88085,0.63482,0.81877,0.000199454,0.000199454,0.000199454
8,364.425,1.00283,0.70931,0.82593,0.84802,0.85741,0.91295,0.683,0.8957,0.62442,0.82196,0.000193652,0.000193652,0.000193652
9,410.47,0.99587,0.7445,0.8169,0.84098,0.8689,0.90997,0.66482,0.93254,0.7157,0.8204,0.000187849,0.000187849,0.000187849
10,466.196,1.00427,0.73374,0.83326,0.85101,0.84397,0.91248,0.69317,0.87362,0.62057,0.81763,0.000182047,0.000182047,0.000182047
11,514.952,0.97988,0.69807,0.82223,0.839,0.87825,0.91607,0.70028,0.85671,0.59143,0.819,0.000176245,0.000176245,0.000176245
12,557.104,0.94648,0.69534,0.81844,0.83241,0.89362,0.91161,0.69747,0.86474,0.6025,0.81955,0.000170443,0.000170443,0.000170443
13,609.502,0.94512,0.67251,0.82443,0.82476,0.87895,0.91213,0.69862,0.84555,0.59862,0.81564,0.000164641,0.000164641,0.000164641
14,663.119,0.94206,0.66118,0.8146,0.8203,0.90112,0.91303,0.67521,0.901,0.60228,0.82289,0.000158839,0.000158839,0.000158839
15,708.902,0.92937,0.65141,0.81189,0.82715,0.89362,0.92282,0.70479,0.84415,0.56891,0.81459,0.000153037,0.000153037,0.000153037
16,743.379,0.93224,0.64913,0.81554,0.82904,0.90189,0.92049,0.70281,0.84785,0.56098,0.81613,0.000147235,0.000147235,0.000147235
17,768.231,0.90652,0.64111,0.81178,0.85613,0.86879,0.92682,0.69158,0.90138,0.57254,0.82122,0.000141433,0.000141433,0.000141433
18,809.212,0.92592,0.62793,0.81536,0.81511,0.91194,0.92943,0.71686,0.82696,0.55951,0.81402,0.000135631,0.000135631,0.000135631
19,858.695,0.88358,0.63373,0.81096,0.83818,0.88416,0.92345,0.705,0.84033,0.56636,0.81718,0.000129829,0.000129829,0.000129829
20,915.251,0.91857,0.64586,0.81505,0.87021,0.84279,0.91193,0.68517,0.86508,0.59124,0.81613,0.000124027,0.000124027,0.000124027
21,953.223,0.92875,0.62662,0.81385,0.87119,0.84744,0.92331,0.68545,0.88974,0.57444,0.82286,0.000118225,0.000118225,0.000118225
22,974.327,0.87469,0.61666,0.80375,0.85236,0.87707,0.93286,0.71211,0.83677,0.55737,0.81446,0.000112423,0.000112423,0.000112423
23,1002.91,0.84344,0.59858,0.805,0.83947,0.90071,0.93001,0.70702,0.84159,0.54741,0.81426,0.000106621,0.000106621,0.000106621
24,1048.48,0.88569,0.61613,0.80738,0.84262,0.88771,0.9293,0.71606,0.82818,0.5471,0.8137,0.000100819,0.000100819,0.000100819
25,1098.48,0.86783,0.60378,0.81144,0.84946,0.88416,0.93069,0.72382,0.80478,0.53611,0.8123,9.50168e-05,9.50168e-05,9.50168e-05
26,1123.66,0.86432,0.61186,0.81305,0.86684,0.8772,0.93636,0.73036,0.8041,0.5351,0.81204,8.92148e-05,8.92148e-05,8.92148e-05
27,1158.76,0.85819,0.59039,0.8101,0.85677,0.88889,0.93626,0.73392,0.79767,0.5344,0.81207,8.34128e-05,8.34128e-05,8.34128e-05
28,1212.2,0.86526,0.59728,0.81531,0.86055,0.8747,0.93453,0.71698,0.8422,0.53885,0.81669,7.76107e-05,7.76107e-05,7.76107e-05
29,1277.8,0.85199,0.61456,0.81117,0.85711,0.87917,0.93374,0.73221,0.78973,0.54036,0.812,7.18087e-05,7.18087e-05,7.18087e-05
30,1304.21,0.87735,0.60553,0.8118,0.87963,0.84654,0.92824,0.72996,0.78292,0.55189,0.80975,6.60066e-05,6.60066e-05,6.60066e-05
31,1351.92,0.84769,0.6404,0.81333,0.86966,0.86758,0.93306,0.7312,0.79846,0.55231,0.81122,6.02046e-05,6.02046e-05,6.02046e-05
32,1379.56,0.81751,0.60384,0.80676,0.85587,0.8818,0.93412,0.73405,0.79463,0.55929,0.80863,5.44026e-05,5.44026e-05,5.44026e-05
33,1408.26,0.83807,0.59367,0.80501,0.86084,0.87707,0.93916,0.72992,0.81178,0.53971,0.81159,4.86005e-05,4.86005e-05,4.86005e-05
34,1443.83,0.80462,0.57875,0.80792,0.86825,0.87352,0.93713,0.73581,0.78741,0.5359,0.80876,4.27985e-05,4.27985e-05,4.27985e-05
35,1489.08,0.79258,0.57789,0.80763,0.89957,0.84397,0.93932,0.72843,0.80995,0.52896,0.81271,3.69964e-05,3.69964e-05,3.69964e-05
36,1543.36,0.80773,0.5828,0.81545,0.88853,0.8487,0.94028,0.73736,0.78795,0.51353,0.8111,3.11944e-05,3.11944e-05,3.11944e-05
37,1571.05,0.77316,0.5567,0.80645,0.88056,0.86274,0.93742,0.72726,0.80566,0.52154,0.81179,2.53924e-05,2.53924e-05,2.53924e-05
38,1617.29,0.78283,0.55973,0.80182,0.87409,0.87352,0.94059,0.74276,0.77933,0.51966,0.80949,1.95903e-05,1.95903e-05,1.95903e-05
39,1649.78,0.78961,0.54994,0.79849,0.8762,0.87005,0.93983,0.74172,0.77971,0.51205,0.81047,1.37883e-05,1.37883e-05,1.37883e-05
40,1711.15,0.76429,0.53362,0.8071,0.87901,0.86879,0.93945,0.74124,0.78282,0.5079,0.81064,7.98625e-06,7.98625e-06,7.98625e-06
